Data,Dzień tygodnia,Godzina od,Godzina do,Przedmiot,Typ zajęć,Prowadzący,Sala
19.10.2025,Niedziela,15:00,16:30,Technologie internetowe,laboratorium,mgr Przemysław Sienkiewicz,312
19.10.2025,Niedziela,16:45,20:00,Bezpieczeństwo systemów informatycznych,"wykład, laboratorium",mgr inż. Mirosław Najbuk,312
07.11.2025,Piątek,17:00,20:00,Zarządzanie projektami informatycznymi,"wykład, laboratorium",lic. Michał Korwel,TEAMS
08.11.2025,Sobota,08:00,11:15,Programowanie w języku C#,laboratorium,mgr inż. Mirosław Najbuk,312
08.11.2025,Sobota,12:00,15:00,Testowanie aplikacji,"wykład, laboratorium",mgr inż. Fridgles-Glodi,TEAMS
08.11.2025,Sobota,15:15,16:45,Automatyzacja,wykład konwersatoryjny,mgr inż. Fridgles-Glodi,TEAMS
09.11.2025,Niedziela,08:00,09:30,Programowanie JavaScript,wykład konwersatoryjny,mgr Przemysław Sienkiewicz,302
09.11.2025,Niedziela,09:45,11:15,Wprowadzenie do programowania na platformie. NET Framework,laboratorium,mgr Przemysław Sienkiewicz,302
09.11.2025,Niedziela,11:30,13:00,Wprowadzenie do programowania na platformie. NET Framework,wykład,mgr Przemysław Sienkiewicz,309
09.11.2025,Niedziela,13:15,14:45,Technologie internetowe,wykład,mgr Przemysław Sienkiewicz,309
09.11.2025,Niedziela,15:00,16:30,Technologie internetowe,laboratorium,mgr Przemysław Sienkiewicz,312
09.11.2025,Niedziela,16:45,20:00,Bezpieczeństwo systemów informatycznych,"wykład, laboratorium",mgr inż. Mirosław Najbuk,312
21.11.2025,Piątek,17:00,20:00,Zarządzanie projektami informatycznymi,"wykład, laboratorium",lic. Michał Korwel,TEAMS
22.11.2025,Sobota,08:00,11:15,Zaawansowane programowanie w języku Python,wykład konwersatoryjny,dr Aneta Polewko – Klim,312
22.11.2025,Sobota,11:30,14:45,Testowanie aplikacji,"wykład, laboratorium",mgr inż. Fridgles-Glodi,312
